instant,dteday,avg_temp,cnt
1,2011-01-01,0.363625,985
2,2011-01-02,0.353739,801
3,2011-01-03,0.189405,1349
4,2011-01-04,0.212122,1562
5,2011-01-05,0.22927,1600
6,2011-01-06,0.233209,1606
7,2011-01-07,0.208839,1510
8,2011-01-08,0.162254,959
9,2011-01-09,0.116175,822
10,2011-01-10,0.150888,1321
11,2011-01-11,0.191464,1263
12,2011-01-12,0.160473,1162
13,2011-01-13,0.150883,1406
14,2011-01-14,0.188413,1421
15,2011-01-15,0.248112,1248
16,2011-01-16,0.234217,1204
17,2011-01-17,0.176771,1000
18,2011-01-18,0.232333,683
19,2011-01-19,0.298422,1650
20,2011-01-20,0.25505,1927
21,2011-01-21,0.157833,1543
22,2011-01-22,0.0790696,981
23,2011-01-23,0.0988391,986
24,2011-01-24,0.11793,1416
25,2011-01-25,0.234526,1985
26,2011-01-26,0.2036,506
27,2011-01-27,0.2197,431
28,2011-01-28,0.223317,1167
29,2011-01-29,0.212126,1098
30,2011-01-30,0.250322,1096
31,2011-01-31,0.18625,1501
32,2011-02-01,0.23453,1360
33,2011-02-02,0.254417,1526
34,2011-02-03,0.177878,1550
35,2011-02-04,0.228587,1708
36,2011-02-05,0.243058,1005
37,2011-02-06,0.291671,1623
38,2011-02-07,0.303658,1712
39,2011-02-08,0.198246,1530
40,2011-02-09,0.144283,1605
41,2011-02-10,0.149548,1538
42,2011-02-11,0.213509,1746
43,2011-02-12,0.232954,1472
44,2011-02-13,0.324113,1589
45,2011-02-14,0.39835,1913
46,2011-02-15,0.254274,1815
47,2011-02-16,0.3162,2115
48,2011-02-17,0.428658,2475
49,2011-02-18,0.511983,2927
50,2011-02-19,0.391404,1635
51,2011-02-20,0.27733,1812
52,2011-02-21,0.284075,1107
53,2011-02-22,0.186033,1450
54,2011-02-23,0.245717,1917
55,2011-02-24,0.289191,1807
56,2011-02-25,0.350461,1461
57,2011-02-26,0.282192,1969
58,2011-02-27,0.351109,2402
59,2011-02-28,0.400118,1446
60,2011-03-01,0.263879,1851
61,2011-03-02,0.320071,2134
62,2011-03-03,0.200133,1685
63,2011-03-04,0.255679,1944
64,2011-03-05,0.378779,2077
65,2011-03-06,0.366252,605
66,2011-03-07,0.238461,1872
67,2011-03-08,0.3024,2133
68,2011-03-09,0.286608,1891
69,2011-03-10,0.385668,623
70,2011-03-11,0.305,1977
71,2011-03-12,0.32575,2132
72,2011-03-13,0.380091,2417
73,2011-03-14,0.332,2046
74,2011-03-15,0.318178,2056
75,2011-03-16,0.36693,2192
76,2011-03-17,0.410333,2744
77,2011-03-18,0.527009,3239
78,2011-03-19,0.466525,3117
79,2011-03-20,0.32575,2471
80,2011-03-21,0.409735,2077
81,2011-03-22,0.440642,2703
82,2011-03-23,0.337939,2121
83,2011-03-24,0.270833,1865
84,2011-03-25,0.256312,2210
85,2011-03-26,0.257571,2496
86,2011-03-27,0.250339,1693
87,2011-03-28,0.257574,2028
88,2011-03-29,0.292908,2425
89,2011-03-30,0.29735,1536
90,2011-03-31,0.257575,1685
91,2011-04-01,0.283454,2227
92,2011-04-02,0.315637,2252
93,2011-04-03,0.378767,3249
94,2011-04-04,0.542929,3115
95,2011-04-05,0.39835,1795
96,2011-04-06,0.387608,2808
97,2011-04-07,0.433696,3141
98,2011-04-08,0.324479,1471
99,2011-04-09,0.341529,2455
100,2011-04-10,0.426737,2895
101,2011-04-11,0.565217,3348
102,2011-04-12,0.493054,2034
103,2011-04-13,0.417283,2162
104,2011-04-14,0.462742,3267
105,2011-04-15,0.441913,3126
106,2011-04-16,0.425492,795
107,2011-04-17,0.445696,3744
108,2011-04-18,0.503146,3429
109,2011-04-19,0.489258,3204
110,2011-04-20,0.564392,3944
111,2011-04-21,0.453892,4189
112,2011-04-22,0.321954,1683
113,2011-04-23,0.450121,4036
114,2011-04-24,0.551763,4191
115,2011-04-25,0.5745,4073
116,2011-04-26,0.594083,4400
117,2011-04-27,0.575142,3872
118,2011-04-28,0.578929,4058
119,2011-04-29,0.497463,4595
